Año,Cantón,Provincia,Empleo total registrado,Empleo masculino registrado,Empleo femenino registrado,Salario promedio total registrado,Salario mensual promedio masculino registrado,Salario mensual promedio femenino registrado,Ventas locales,Recaudación tributaria,Valor agregado bruto de producción,Población,Número de nuevas compañías,Valor agregado bruto de producción per cápita,variación interanual de la producción per cápita,variación interanual real de la producción per cápita
2023,San Miguel De Urcuquí,Imbabura,1671.083333,1057.416667,613.6666667,822.0183309,838.7561951,793.840449,36168468.86,1612556.74,44291760,18406,6,2406.376182,-5.39158959,-7.611760413
2024,San Miguel De Urcuquí,Imbabura,1652.75,1022.166667,630.5833333,836.5473938,864.1252391,793.3571218,37137794.6,1767675.71,,,7,,,
2019,Cuenca,Azuay,146793.5,84806.75,61986.75,775.0517578,813.2617849,722.7784882,8651105943,668311077.8,3924237720,602324,436,6515.16081,-3.581447062,-3.847863398
2020,Cuenca,Azuay,135070.1667,77929.08333,57141.08333,766.4382589,798.4551341,722.7195841,7297291797,544414035.1,3488711950,608277,597,5735.400073,-11.96840355,-11.62980439
2021,Cuenca,Azuay,137209.0833,79564.91667,57644.16667,809.3026663,855.2170359,745.9941559,8969426580,700987199.3,3757979840,610362,827,6156.968881,7.350294709,7.20886395
2022,Cuenca,Azuay,144044.3333,82835,61209.33333,831.661382,877.4173737,769.714915,9980534364,850300465.4,4174470890,612574,1080,6814.639358,10.68172488,7.217903901
2023,Cuenca,Azuay,148709.8333,85021.66667,63688.16667,850.3018087,887.8108012,800.231369,8905905025,823505801.3,4164344800,615768,1149,6762.847046,-0.760015444,-2.980186266
2024,Cuenca,Azuay,149724.3333,85375.25,64349.08333,865.5147756,903.1710714,815.5575612,8790826154,888330698.9,,,1151,,,
2019,Girón,Azuay,612.5,371.5833333,240.9166667,677.5115712,658.197642,707.4292704,18200835.03,1003299.422,24151740,13046,6,1851.275487,16.73532239,16.46890605
2020,Girón,Azuay,616.3333333,370.8333333,245.5,680.123376,667.8947194,698.7011159,15026784.84,728237.7,20601220,12974,3,1587.885001,-14.22751437,-13.88891522
2021,Girón,Azuay,635.25,375.6666667,259.5833333,676.0445986,662.9019012,695.0891876,15553882.94,994391.49,21310830,12825,3,1661.663158,4.646316143,4.504885384
2022,Girón,Azuay,692.25,403.4166667,288.8333333,680.1029816,651.9819794,719.4988149,18344559.27,1276749.58,24358960,12687,11,1919.993694,15.54650443,12.08268345
2023,Girón,Azuay,691.8333333,395.0833333,296.75,698.9956411,669.4149831,738.4878235,18712285.08,1374006.5,20532550,12578,9,1632.417713,-14.97796486,-17.19813568
2024,Girón,Azuay,723.8333333,423.6666667,300.1666667,710.9827118,689.0880381,741.8720703,19118218.66,1085862.27,,,6,,,
2019,Gualaceo,Azuay,3665.666667,1840.5,1825.166667,645.2963664,602.2481588,688.7264811,100448432.7,4228820.082,101925950,45858,24,2222.642723,7.336743933,7.070327596
2020,Gualaceo,Azuay,3576.416667,1746.083333,1830.333333,687.0788364,631.1104584,739.9883219,80682382.34,2771743.44,95378250,45766,15,2084.041647,-6.23586846,-5.897269302
2021,Gualaceo,Azuay,3800.583333,1806.833333,1993.75,730.8969704,670.7604624,785.4082286,110122543.5,4802326.01,109269950,45392,37,2407.251278,15.50878945,15.3673587
2022,Gualaceo,Azuay,4082.75,1946.5,2136.25,740.5194855,682.8514099,793.0557454,122975255.5,5917310.54,120888670,45040,21,2684.029085,11.49766998,8.033848996
2023,Gualaceo,Azuay,4208.916667,1971.833333,2237.083333,775.5715179,712.4250285,831.2616475,121877298.1,5980925.11,115454510,44774,34,2578.606111,-3.927788083,-6.147958906
2024,Gualaceo,Azuay,4231.416667,1967.5,2263.916667,783.4405111,721.555308,837.2665049,115236378.5,6290983.62,,,33,,,
2019,Nabón,Azuay,486.8333333,273.5,213.3333333,787.8568776,722.0224609,872.2201436,10049316.05,469690.842,23091830,15837,4,1458.093705,9.144366708,8.877950371
2020,Nabón,Azuay,420.1666667,224.75,195.4166667,759.0937655,701.7184804,824.6814016,8967281.41,301862.41,24125720,15700,1,1536.670064,5.388978694,5.727577852
2021,Nabón,Azuay,339.25,205.25,134,650.5078247,617.1993357,701.7684326,11197224.21,458502.16,23402620,15475,4,1512.285622,-1.586836517,-1.728267277
2022,Nabón,Azuay,365.8333333,222.75,143.0833333,650.6046448,626.8262024,687.6872864,18839652.57,847818.55,25904480,15268,3,1696.651821,12.1912287,8.72740772
2023,Nabón,Azuay,368.9166667,221.0833333,147.8333333,668.7470957,652.1992137,693.4935811,16460505.37,701140.3,23248300,15103,3,1539.316692,-9.273271441,-11.49344226
2024,Nabón,Azuay,353.25,223.9166667,129.3333333,700.1106466,687.2205149,722.3917389,16515011.97,759058.56,,,4,,,
2019,Paute,Azuay,2856.083333,1507.583333,1348.5,673.4431,659.5555013,688.9441223,75933415.24,10511830.26,88456810,27801,10,3181.785188,12.76569246,12.49927612
2020,Paute,Azuay,2445.583333,1325.583333,1120,687.829591,657.1702067,725.2184143,62371721.37,10437624.07,78041880,27827,9,2804.538039,-11.85646192,-11.51786276
2021,Paute,Azuay,2028.25,1065.5,962.75,719.0361388,686.3488057,755.453359,73553330.95,8704595.64,73732670,27676,9,2664.13752,-5.006190567,-5.147621326
2022,Paute,Azuay,2231.25,1173.75,1057.5,725.5157522,695.3769684,758.9649607,90070218.44,14576079.55,74603090,27535,16,2709.39132,1.69862854,-1.765192444
2023,Paute,Azuay,2336.666667,1195.75,1140.916667,764.1915181,736.2644806,793.4871979,93367890.36,19828825.95,64309410,27442,16,2343.466584,-13.50579126,-15.72596208
2024,Paute,Azuay,2428.333333,1256.5,1171.833333,765.8133596,730.8779755,803.3902791,94698175.78,25713882.68,,,13,,,
